Synopsis,CVE,Risk,Host,Solution,Plugin Output
An antimalware application is installed on the remote Windows host.,0,None,10.10.10.123,n/a,"
  File                : C:\Windows\system32\MRT.exe
  Version             : 5.52.14201.0
  Release at last run : unknown
  Report infection information to Microsoft : Yes
"
Nessus was able to collect the hosts file from the remote host.,0,None,10.10.10.123,n/a,Windows hosts file attached.
It is possible to enumerate installed software.,0,None,10.10.10.123,"Remove any applications that are not compliant with your organization's
acceptable use and security policies.","
The following software are installed on the remote host :

Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148  [version 9.0.30729.4148]  [installed on 2016/01/27]
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161  [version 9.0.30729.6161]  [installed on 2016/01/27]
Fortinet SSO Collector Agent v5.0.0251  [version 5.0.0251]  [installed on 2017/02/20]
Administrative Templates (.admx) for Windows 10 Creators Update  [version 2.0]  [installed on 2017/07/26]
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161  [version 9.0.30729.6161]  [installed on 2017/09/27]
Administrative Templates (ADMX) for Windows 10 and Windows Server 2016  [version 2.0]  [installed on 2017/07/26]
VMware Tools  [version 9.10.5.2981885]  [installed on 2016/01/27]
"
It is possible to enumerate remote services.,0,None,10.10.10.123,"To prevent the listing of the services from being obtained, you should
either have tight login restrictions, so that only trusted users can
access your host, and/or you should filter incoming traffic to this
port.","
Active Services :

Active Directory Web Services [ ADWS ] 
Application Experience [ AeLookupSvc ] 
AppX Deployment Service (AppXSVC) [ AppXSvc ] 
Base Filtering Engine [ BFE ] 
Background Tasks Infrastructure Service [ BrokerInfrastructure ] 
Certificate Propagation [ CertPropSvc ] 
COM+ System Application [ COMSysApp ] 
Cryptographic Services [ CryptSvc ] 
DCOM Server Process Launcher [ DcomLaunch ] 
DFS Namespace [ Dfs ] 
DFS Replication [ DFSR ] 
DHCP Client [ Dhcp ] 
Diagnostics Tracking Service [ DiagTrack ] 
DNS Server [ DNS ] 
DNS Client [ Dnscache ] 
Diagnostic Policy Service [ DPS ] 
Windows Event Log [ EventLog ] 
COM+ Event System [ EventSystem ] 
Windows Font Cache Service [ FontCache ] 
Fortinet Single Sign On Agent Service [ Fortinet_FSAE ] 
Group Policy Client [ gpsvc ] 
IKE and AuthIP IPsec Keying Modules [ IKEEXT ] 
IP Helper [ iphlpsvc ] 
Intersite Messaging [ IsmServ ] 
Kerberos Key Distribution Center [ Kdc ] 
Server [ LanmanServer ] 
Workstation [ LanmanWorkstation ] 
TCP/IP NetBIOS Helper [ lmhosts ] 
Local Session Manager [ LSM ] 
Windows Firewall [ MpsSvc ] 
Distributed Transaction Coordinator [ MSDTC ] 
Netlogon [ Netlogon ] 
Network List Service [ netprofm ] 
Network Location Awareness [ NlaSvc ] 
Network Store Interface Service [ nsi ] 
Active Directory Domain Services [ NTDS ] 
Plug and Play [ PlugPlay ] 
IPsec Policy Agent [ PolicyAgent ] 
Power [ Power ] 
User Profile Service [ ProfSvc ] 
Remote Registry [ RemoteRegistry ] 
RPC Endpoint Mapper [ RpcEptMapper ] 
Remote Procedure Call (RPC) [ RpcSs ] 
Security Accounts Manager [ SamSs ] 
Task Scheduler [ Schedule ] 
System Event Notification Service [ SENS ] 
Remote Desktop Configuration [ SessionEnv ] 
Print Spooler [ Spooler ] 
System Events Broker [ SystemEventsBroker ] 
Remote Desktop Services [ TermService ] 
Themes [ Themes ] 
Windows Modules Installer [ TrustedInstaller ] 
User Access Logging Service [ UALSVC ] 
Remote Desktop Services UserMode Port Redirector [ UmRdpService ] 
Virtual Disk [ vds ] 
VMware Alias Manager and Ticket Service [ VGAuthService ] 
VMware Tools [ VMTools ] 
Windows Time [ W32Time ] 
Windows Connection Manager [ Wcmsvc ] 
Windows Management Instrumentation [ Winmgmt ] 
Windows Remote Management (WS-Management) [ WinRM ] 

Inactive Services :

Application Layer Gateway Service [ ALG ] 
Application Identity [ AppIDSvc ] 
Application Information [ Appinfo ] 
Application Management [ AppMgmt ] 
App Readiness [ AppReadiness ] 
Windows Audio Endpoint Builder [ AudioEndpointBuilder ] 
Windows Audio [ Audiosrv ] 
Background Intelligent Transfer Service [ BITS ] 
Computer Browser [ Browser ] 
Optimize drives [ defragsvc ] 
Device Association Service [ DeviceAssociationService ] 
Device Install Service [ DeviceInstall ] 
Wired AutoConfig [ dot3svc ] 
Device Setup Manager [ DsmSvc ] 
DS Role Server [ DsRoleSvc ] 
Extensible Authentication Protocol [ Eaphost ] 
Encrypting File System (EFS) [ EFS ] 
Function Discovery Provider Host [ fdPHost ] 
Function Discovery Resource Publication [ FDResPub ] 
Human Interface Device Service [ hidserv ] 
Health Key and Certificate Management [ hkmsvc ] 
Internet Explorer ETW Collector Service [ IEEtwCollectorService ] 
Microsoft Key Distribution Service [ KdsSvc ] 
CNG Key Isolation [ KeyIso ] 
KDC Proxy Server service (KPS) [ KPSSVC ] 
KtmRm for Distributed Transaction Coordinator [ KtmRm ] 
Link-Layer Topology Discovery Mapper [ lltdsvc ] 
Multimedia Class Scheduler [ MMCSS ] 
Microsoft iSCSI Initiator Service [ MSiSCSI ] 
Windows Installer [ msiserver ] 
Network Access Protection Agent [ napagent ] 
Network Connectivity Assistant [ NcaSvc ] 
Network Connections [ Netman ] 
Net.Tcp Port Sharing Service [ NetTcpPortSharing ] 
File Replication [ NtFrs ] 
Performance Counter DLL Host [ PerfHost ] 
Performance Logs & Alerts [ pla ] 
Printer Extensions and Notifications [ PrintNotify ] 
PSEXESVC [ PSEXESVC ] 
Remote Access Auto Connection Manager [ RasAuto ] 
Remote Access Connection Manager [ RasMan ] 
Routing and Remote Access [ RemoteAccess ] 
Remote Procedure Call (RPC) Locator [ RpcLocator ] 
Resultant Set of Policy Provider [ RSoPProv ] 
Special Administration Console Helper [ sacsvr ] 
Smart Card [ SCardSvr ] 
Smart Card Device Enumeration Service [ ScDeviceEnum ] 
Smart Card Removal Policy [ SCPolicySvc ] 
Secondary Logon [ seclogon ] 
Internet Connection Sharing (ICS) [ SharedAccess ] 
Shell Hardware Detection [ ShellHWDetection ] 
Microsoft Storage Spaces SMP [ smphost ] 
SNMP Trap [ SNMPTRAP ] 
Software Protection [ sppsvc ] 
SSDP Discovery [ SSDPSRV ] 
Secure Socket Tunneling Protocol Service [ SstpSvc ] 
Spot Verifier [ svsvc ] 
Microsoft Software Shadow Copy Provider [ swprv ] 
Superfetch [ SysMain ] 
Telephony [ TapiSrv ] 
Thread Ordering Server [ THREADORDER ] 
Storage Tiers Management [ TieringEngineService ] 
Distributed Link Tracking Client [ TrkWks ] 
Interactive Services Detection [ UI0Detect ] 
UPnP Device Host [ upnphost ] 
Credential Manager [ VaultSvc ] 
Hyper-V Guest Service Interface [ vmicguestinterface ] 
Hyper-V Heartbeat Service [ vmicheartbeat ] 
Hyper-V Data Exchange Service [ vmickvpexchange ] 
Hyper-V Remote Desktop Virtualization Service [ vmicrdv ] 
Hyper-V Guest Shutdown Service [ vmicshutdown ] 
Hyper-V Time Synchronization Service [ vmictimesync ] 
Hyper-V Volume Shadow Copy Requestor [ vmicvss ] 
VMware Snapshot Provider [ vmvss ] 
Volume Shadow Copy [ VSS ] 
Block Level Backup Engine Service [ wbengine ] 
Windows Color System [ WcsPlugInService ] 
Diagnostic Service Host [ WdiServiceHost ] 
Diagnostic System Host [ WdiSystemHost ] 
Windows Event Collector [ Wecsvc ] 
Windows Encryption Provider Host Service [ WEPHOSTSVC ] 
Problem Reports and Solutions Control Panel Support [ wercplsupport ] 
Windows Error Reporting Service [ WerSvc ] 
WinHTTP Web Proxy Auto-Discovery Service [ WinHttpAutoProxySvc ] 
WMI Performance Adapter [ wmiApSrv ] 
Portable Device Enumerator Service [ WPDBusEnum ] 
Windows Store Service (WSService) [ WSService ] 
Windows Update [ wuauserv ] 
Windows Driver Foundation - User-mode Driver Framework [ wudfsvc ] 
"
"Nessus was able to collect and report DNS cache information from the
remote host.",0,None,10.10.10.123,n/a,"    3f83a28c-230a-4893-919d-6969c4114823._msdcs.nayaxvend.int
    3f83a28c-230a-4893-919d-6969c4114823._msdcs.nayaxvend.int
    isatap
    sysildc01.nayaxvend.int

DNS cache information attached.
"
Nessus is able to check for Microsoft patch bulletins.,0,None,10.10.10.123,n/a,"

Nessus is able to test for missing patches using : 
  Nessus
"
"Nessus enumerated the DNS servers being used by the remote Windows
host.",0,None,10.10.10.123,n/a,"
Nessus enumerated DNS servers for the following interfaces :

Interface: {F7EDC141-2BBE-41EF-AF0B-168E995FDEFD}
Network Connection : Ethernet0
NameServer: 10.10.10.124,10.0.0.250,127.0.0.1
"
It was possible to obtain traceroute information.,0,None,10.10.10.123,n/a,"For your information, here is the traceroute from 10.12.11.73 to 10.10.10.123 : 
10.12.11.73
10.12.11.1
212.179.76.194
?
10.10.10.123

Hop Count: 4
"
It was possible to obtain the network name of the remote host.,0,None,10.10.10.123,n/a,"The following 2 NetBIOS names have been gathered :

 QAILDC01         = Computer name
 NAYAXVEND        = Workgroup / Domain name
"
It was possible to obtain the domain SID.,CVE-2000-1200,None,10.10.10.123,n/a,"The remote domain SID value is :
1-5-21-3852196445-1890925931-3115976469"
"It was possible to obtain information about the version of SMB running
on the remote host.",0,None,10.10.10.123,n/a,"
The remote host supports the following versions of SMB :
  SMBv1
  SMBv2
"
"It was possible to obtain information about the remote operating
system.",0,None,10.10.10.123,n/a,"The remote Operating System is : Windows Server 2012 R2 Standard 9600
The remote native LAN manager is : Windows Server 2012 R2 Standard 6.3
The remote SMB Domain Name is : NAYAXVEND
"
It was possible to log into the remote host.,0,None,10.10.10.123,n/a,"- NULL sessions are enabled on the remote host.
- The SMB tests will be done as nayaxvend.int\itservices/******
"
It was possible to enumerate the permissions of remote network shares.,0,None,10.10.10.123,n/a,"
Share path : \\QAILDC01\backup
Local path : C:\backup
[*] Allow ACE for BUILTIN\Administrators: 0x001f01ff
    FILE_ALL_ACCESS:           YES
    FILE_ALL_ACCESS:           YES
    FILE_ALL_ACCESS:           YES
[*] Allow ACE for Everyone: 0x001f01ff
    FILE_ALL_ACCESS:           YES
    FILE_ALL_ACCESS:           YES
    FILE_ALL_ACCESS:           YES

Share path : \\QAILDC01\NETLOGON
Local path : C:\Windows\SYSVOL\sysvol\nayaxvend.int\SCRIPTS
Comment : Logon server share 
[*] Allow ACE for Everyone: 0x000012a9
    :                          YES
    :                          NO
    :                          YES
[*] Allow ACE for BUILTIN\Administrators: 0x001f01ff
    FILE_ALL_ACCESS:           YES
    FILE_ALL_ACCESS:           YES
    FILE_ALL_ACCESS:           YES

Share path : \\QAILDC01\SYSVOL
Local path : C:\Windows\SYSVOL\sysvol
Comment : Logon server share 
[*] Allow ACE for Everyone: 0x000012a9
    :                          YES
    :                          NO
    :                          YES
[*] Allow ACE for BUILTIN\Administrators: 0x001f01ff
    FILE_ALL_ACCESS:           YES
    FILE_ALL_ACCESS:           YES
    FILE_ALL_ACCESS:           YES
[*] Allow ACE for NT AUTHORITY\Authenticated Users: 0x001f01ff
    FILE_ALL_ACCESS:           YES
    FILE_ALL_ACCESS:           YES
    FILE_ALL_ACCESS:           YES
"
